timestamp,pkt_count,avg_pkt_len,tcp_count,udp_count,syn_count
15165,4,173.5,0,2,0
15166,9,191.44,2,4,0
15167,7,228.0,0,4,0
15169,1,408.0,0,0,0
15170,1,120.0,0,0,0
15170,16,335.75,0,7,0
15171,7,79.86,1,5,0
15172,11,295.09,3,4,0
15173,2,60.0,0,0,0
15174,3,96.33,0,0,0
15175,6,99.67,0,0,0
15177,5,107.6,0,0,0
15178,7,94.0,0,0,0
15179,5,107.6,0,0,0
15180,3,139.33,0,0,0
15180,20,74.1,2,0,0
15181,9,86.44,0,0,0
15182,5,107.6,0,0,0
15183,6,99.67,0,0,0
15184,13,109.08,2,1,0
15185,15,132.27,0,3,0
15186,13,99.54,0,2,0
15187,24,132.0,6,3,0
15188,73,727.55,0,59,0
15189,90,535.54,9,67,1
15190,17,105.24,0,3,0
15191,98,732.49,0,81,0
15192,17,75.0,0,2,0
15193,62,625.05,0,54,0
15194,6,158.0,0,1,0
15196,31,678.06,0,24,0
15197,86,969.15,0,84,0
15198,42,772.5,0,39,0
15199,34,405.18,0,30,0
15200,2,179.0,0,0,0
15201,2,179.0,0,0,0
15201,1048,1235.62,0,1045,0
15202,460,1245.38,0,456,0
15203,10,136.6,0,7,0
15204,4,121.0,1,0,0
15204,5,108.8,1,0,0
15206,520,1222.62,0,517,0
15207,7,106.29,0,4,0
15208,48,718.88,0,45,0
15209,13,119.38,0,10,0
15210,3,139.33,0,0,0
15211,4,119.5,0,0,0
15213,7,113.0,0,5,0
15214,7,113.0,0,5,0
15215,3,165.67,0,0,0
15215,4,139.25,0,0,0
15216,238,1222.14,0,233,0
15217,5,191.6,1,1,0
15218,2,179.0,0,0,0
15219,8,117.38,0,5,0
15220,8,350.38,0,6,0
15220,9,318.11,0,6,0
15222,3,139.33,0,0,0
15223,2,179.0,0,0,0
15223,3,139.33,0,0,0
15225,2,179.0,0,0,0
15225,3,139.33,0,0,0
15227,141,1210.52,3,136,1
15228,2,179.0,0,0,0
15230,4,135.75,0,2,0
15231,124,1230.46,0,122,0
15231,130,1177.25,0,126,0
15232,2,179.0,0,0,0
15233,33,1105.06,1,30,0
15234,6,139.33,0,2,0
15236,11,150.73,0,4,0
15237,3,274.67,0,0,0
15238,4,158.25,0,1,0
15238,14,269.5,0,5,0
15239,5,135.2,0,1,0
15240,2,179.0,0,0,0
15241,244,1277.38,0,242,0
15241,247,1263.0,0,243,0
15243,4,223.0,0,1,0
15243,5,190.4,0,1,0
15245,138,1257.66,0,135,0
15246,6,115.0,0,4,0
15246,7,107.14,0,4,0
15248,7,113.0,0,5,0
15249,4,121.0,1,0,0
15251,2,179.0,0,0,0
15251,148,1256.7,0,146,0
15252,2,179.0,0,0,0
15252,3,139.33,0,0,0
15254,12,351.0,0,5,0
15255,11,484.73,0,4,0
15256,173,1174.28,0,169,0
15258,3,561.67,0,0,0
15259,2,179.0,0,0,0
15260,2,179.0,0,0,0
15261,3,225.0,0,0,0
15261,28,387.96,0,12,0
15262,8,413.0,1,2,0
15264,157,1194.22,1,152,0
15265,8,415.12,0,2,0
15266,2,179.0,0,0,0
15266,3,139.33,0,0,0
15267,163,1219.17,0,156,0
15269,3,139.33,0,0,0
15269,3,139.33,0,0,0
15270,4,119.5,0,0,0
15272,6,112.0,0,3,0
15272,6,112.0,0,3,0
15273,8,210.0,0,2,0
15274,156,1247.28,0,152,0
15275,6,160.0,0,2,0
15277,2,179.0,0,0,0
15278,2,179.0,0,0,0
15278,4,122.5,2,0,0
15279,164,1242.96,0,160,0
15280,6,125.83,0,3,0
15280,6,125.83,0,3,0
15282,9,104.22,0,6,0
15284,4,119.5,0,0,0
15285,8,218.0,0,3,0
15286,22,566.18,0,16,0
15287,6,204.5,0,1,0
15288,5,182.4,0,1,0
15289,5,211.6,0,1,0
15290,128,1240.93,0,126,0
15291,3,180.0,0,0,0
15291,5,132.0,0,0,0
15293,2,179.0,0,0,0
15294,4,187.5,0,1,0
15294,19,248.53,0,8,0
15296,7,210.29,0,2,0
15297,144,1227.94,0,139,0
15298,4,180.0,0,0,0
15299,3,139.33,0,0,0
15300,3,139.33,0,0,0
15301,2,179.0,0,0,0
15302,2,179.0,0,0,0
15303,3,139.33,0,0,0
15303,10,133.4,0,3,0
15304,25,360.96,16,5,1
15305,27,157.15,15,4,0
15307,18,220.22,0,9,0
15308,4,211.25,0,0,0
15309,2,179.0,0,0,0
15309,8,245.75,1,2,0
15311,8,138.25,0,2,0
15312,2,179.0,0,0,0
15312,5,313.6,0,1,0
15314,3,139.33,0,0,0
15315,4,134.25,0,1,0
15316,4,139.25,0,0,0
15317,4,175.5,0,1,0
15318,3,139.33,0,0,0
15319,3,165.67,0,0,0
15320,12,439.5,0,10,0
15320,17,346.35,0,13,0
15322,18,942.78,0,14,0
15323,12,406.5,0,10,0
15324,4,121.0,1,0,0
15325,2,179.0,0,0,0
15325,3,139.33,0,0,0
15327,6,112.17,0,3,0
15328,3,139.33,0,0,0
15329,2,179.0,0,0,0
15330,4,156.0,0,0,0
15331,17,335.12,0,15,0
15331,23,313.61,0,17,0
15333,10,228.2,0,3,0
15334,17,208.12,0,6,0
15335,6,182.5,0,1,0
15336,13,156.23,0,7,0
15337,8,308.38,0,2,0
15338,4,224.0,0,1,0
15339,2,179.0,0,0,0
15339,128,1194.12,0,123,0
15341,2,179.0,0,0,0
15342,4,224.0,0,1,0
15342,5,191.2,0,1,0
15344,18,971.0,0,16,0
15345,5,130.4,0,3,0
15345,11,116.09,0,7,0
15347,2,179.0,0,0,0
15348,3,139.33,0,0,0
15349,2,179.0,0,0,0
15350,3,141.33,1,0,0
15351,124,1246.04,0,122,0
15353,8,111.88,1,3,0
15353,13,124.23,2,4,0
15354,10,99.8,0,6,0
15355,20,938.6,0,16,0
15356,6,122.67,0,1,0
15357,3,139.33,0,0,0
15358,2,179.0,0,0,0
15358,4,134.5,0,0,0
15360,7,125.0,0,0,0
15361,12,179.0,0,4,0
15362,6,219.5,0,2,0
15363,2,179.0,0,0,0
15363,9,226.44,0,5,0
15365,5,156.0,0,0,0
15366,3,139.33,0,0,0
15367,5,306.4,0,1,0
15368,130,1250.17,0,128,0
15369,3,141.33,1,0,0
15371,3,180.0,0,0,0
15371,8,118.38,0,4,0
15372,4,129.0,0,0,0
15373,3,139.33,0,0,0
15374,45,794.0,0,42,0
15375,20,643.25,0,17,0
15375,27,566.0,0,20,0
15377,2,179.0,0,0,0
15378,2,179.0,0,0,0
15378,130,1231.78,0,127,0
15380,2,179.0,0,0,0
15381,7,132.0,0,4,0
15382,2,179.0,0,0,0
15382,3,139.33,0,0,0
15384,29,835.45,1,25,0
15385,3,139.33,0,0,0
15385,7,115.14,0,1,0
15387,5,155.8,0,0,0
15388,7,113.0,0,5,0
15389,2,179.0,0,0,0
15390,5,182.4,0,1,0
15391,10,170.9,0,5,0
15393,3,255.33,0,0,0
15393,8,185.38,0,2,0
15394,32,952.97,0,27,0
15395,18,315.44,0,13,0
15396,9,147.56,0,5,0
15397,9,199.56,4,1,0
15398,4,150.0,0,1,0
15399,3,139.33,0,0,0
15401,4,150.0,0,0,0
15402,128,1265.3,0,126,0
15403,2,179.0,0,0,0
15404,2,179.0,0,0,0
15405,5,184.2,0,1,0
15406,3,148.33,0,1,0
15406,15,120.47,0,8,0
15407,149,1176.53,0,141,0
15408,6,136.5,0,0,0
15409,9,122.11,0,1,0
15411,35,1089.97,0,31,0
15412,5,193.2,0,1,0
15413,3,139.33,0,0,0
15414,2,179.0,0,0,0
15415,2,179.0,0,0,0
15415,7,174.0,0,2,0
15415,7,174.0,0,2,0
15417,3,139.33,0,0,0
15419,134,1218.66,0,131,0
15419,135,1210.08,0,131,0
15420,4,119.5,0,0,0
15422,6,124.33,0,3,0
15423,2,179.0,0,0,0
15424,6,124.5,0,2,0
15425,4,139.25,0,0,0
15426,3,165.67,0,0,0
15427,3,184.0,0,0,0
15427,13,221.38,0,4,0
15428,4,298.0,0,1,0
15429,121,1197.95,1,116,0
15430,7,262.0,0,2,0
15431,13,129.31,0,6,0
15432,7,230.57,0,2,0
15434,4,119.5,0,0,0
15434,18,592.33,0,12,0
15435,10,124.5,0,5,0
15436,7,159.71,0,4,0
15438,2,179.0,0,0,0
15439,2,179.0,0,0,0
15440,2,179.0,0,0,0
15440,3,139.33,0,0,0
15441,141,1195.18,0,135,0
15443,5,110.0,2,0,0
15444,3,141.33,1,0,0
15445,2,179.0,0,0,0
15445,55,1118.67,0,50,0
15446,2,179.0,0,0,0
15447,8,123.38,0,4,0
15448,10,103.8,0,2,0
15450,6,187.5,0,1,0
15451,2,179.0,0,0,0
15452,2,179.0,0,0,0
15453,3,207.0,0,0,0
15453,11,128.45,0,5,0
15454,6,129.83,0,2,0
15455,4,154.0,0,1,0
15456,33,732.15,0,29,0
15457,118,1237.78,0,113,0
15459,26,530.19,0,24,0
15460,6,286.67,0,4,0
15460,49,760.92,0,45,0
15461,7,210.0,0,3,0
15463,7,222.14,0,5,0
15464,20,408.3,0,18,0
15465,3,147.67,0,1,0
15466,7,248.57,0,4,0
15467,12,758.67,0,10,0
15468,157,1043.84,0,155,0
15468,188,1033.35,0,184,0
15469,26,497.65,0,23,0
15470,632,1181.09,0,627,0
15471,513,1165.03,0,509,0
15473,64,478.94,0,62,0
15474,29,259.62,0,27,0
15475,12,147.83,0,6,0
15476,342,1233.52,0,337,0
15477,2,179.0,0,0,0
15478,13,132.31,0,10,0
15478,53,580.72,0,46,0
15480,10,193.4,0,6,0
15481,3,139.33,0,0,0
15482,59,768.8,0,54,0
15483,551,1255.22,0,547,0
15484,3,139.33,0,0,0
15485,3,139.33,0,0,0
15486,2,179.0,0,0,0
15488,2,179.0,0,0,0
15489,2,179.0,0,0,0
15489,455,1262.48,1,450,0
15490,3,139.33,0,0,0
15491,155,1257.59,0,152,0
15491,161,1216.06,0,156,0
15493,14,94.57,0,10,0
15494,4,119.5,0,0,0
15495,3,139.33,0,0,0
15495,10,112.4,0,2,0
15497,46,918.0,0,40,0
15498,3,139.33,0,0,0
15499,3,139.33,0,0,0
15501,3,139.33,0,0,0
15501,361,1256.43,0,358,0
15502,9,96.33,0,4,0
15503,176,1192.1,0,171,0
15504,7,130.43,2,0,0
15506,2,179.0,0,0,0
15506,6,122.67,0,1,0
15507,4,173.75,0,0,0
15509,2,179.0,0,0,0
15509,3,139.33,0,0,0
15511,2,179.0,0,0,0
15511,184,1199.16,0,181,0
15512,10,137.6,0,6,0
15513,8,129.25,0,4,0
15514,5,115.4,0,0,0
15515,3,139.33,0,0,0
15516,2,179.0,0,0,0
15518,2,179.0,0,0,0
15518,136,1193.95,0,133,0
15520,2,179.0,0,0,0
15520,3,139.33,0,0,0
15521,152,1132.79,0,149,0
15523,2,179.0,0,0,0
15524,143,1242.57,0,141,0
15524,144,1234.35,0,141,0
15526,2,179.0,0,0,0
15526,140,1159.67,0,132,0
15527,10,200.4,3,2,1
15528,22,147.45,1,12,0
15529,206,1156.06,14,189,1
15530,11,131.91,0,8,0
15531,144,1239.0,0,141,0
15533,2,179.0,0,0,0
15534,7,158.29,0,2,0
15535,147,1113.33,3,138,0
15536,3,139.33,0,0,0
15536,10,189.4,0,3,0
15537,286,1231.72,0,280,0
15538,345,1233.46,3,334,0
15540,160,1228.75,0,158,0
15541,2,179.0,0,0,0
15542,4,137.0,0,2,0
15542,498,1253.67,0,495,0
15544,2,179.0,0,0,0
15544,362,1253.25,0,358,0
15545,9,101.22,0,5,0
15547,257,1265.02,0,254,0
15547,475,1252.43,0,471,0
15548,3,139.33,0,0,0
15549,345,1261.56,1,341,0
15550,178,1221.88,0,175,0
15552,7,107.86,0,5,0
15553,465,1264.78,0,459,0
15554,197,1260.52,0,195,0
15555,27,1123.15,0,24,0
15556,2,179.0,0,0,0
15557,206,1278.79,0,204,0
15557,351,1255.97,0,347,0
15558,257,1236.58,0,253,0
15559,352,1251.2,0,349,0
15561,169,1259.3,0,167,0
15562,6,112.83,0,3,0
15562,8,99.62,0,3,0
15563,9,101.56,0,4,0
15565,144,1255.12,0,142,0
15565,181,1205.23,0,178,0
15566,4,173.75,0,0,0
15568,340,1274.23,0,338,0
15569,60,1232.38,0,58,0
15569,204,1237.9,0,201,0
15571,204,1263.69,0,202,0
15572,2,179.0,0,0,0
15573,405,1280.23,0,403,0
15573,429,1252.45,1,423,0
15575,8,117.25,0,4,0
15576,298,1256.49,0,295,0
15577,136,1247.08,0,132,0
15578,126,1239.64,2,122,0
15579,6,203.67,0,4,0
15579,346,1261.76,0,343,0
15581,261,1247.21,0,258,0
15582,5,124.6,0,3,0
15583,344,1255.21,0,340,0
15584,9,200.22,0,3,0
15585,3,255.33,0,0,0
15586,3,308.33,0,0,0
15587,3,220.0,0,0,0
15587,287,1246.78,0,282,0
15589,5,124.0,0,1,0
15590,63,908.08,0,59,0
15591,10,263.0,0,4,0
15592,3,261.67,0,0,0
15592,430,1251.71,0,423,0
15593,300,1234.31,0,293,0
15595,4,139.25,0,0,0
15596,3,165.67,0,0,0
15597,159,1273.53,0,157,0
15598,6,117.33,0,4,0
15598,8,103.0,0,4,0
15599,5,107.6,0,0,0
15601,4,119.5,0,0,0
15602,31,419.13,19,8,2
15603,6,188.67,1,1,0
15604,9,169.33,0,3,0
15605,7,258.43,0,3,0
15606,3,165.67,0,0,0
15606,5,123.4,0,0,0
15607,3,139.33,0,0,0
15609,7,172.71,0,4,0
15610,4,130.25,0,1,0
15611,2,179.0,0,0,0
15611,4,119.5,0,0,0
15612,11,142.73,0,4,0
19317,31,495.45,19,11,1
19319,2,149.5,1,0,0
19320,12,421.25,6,5,0
19321,13,428.85,2,10,0
19322,7,364.71,3,3,0
19323,6,167.5,2,1,0
19324,2,118.0,1,0,0
19325,1,238.0,1,0,0
19326,2,153.0,1,1,0
19327,9,299.56,4,2,0
19329,2,149.5,1,0,0
19330,17,406.29,12,4,0
19331,4,357.25,2,1,0
19332,14,470.79,6,7,0
19334,1,67.0,0,1,0
19335,9,663.22,0,8,0
19336,31,294.65,5,25,0
19338,19,331.37,1,15,0
19339,15,199.6,4,5,0
19340,5,406.6,3,1,0
19341,2,149.5,1,0,0
19342,3,123.67,1,2,0
19343,1,169.0,0,1,0
19345,5,436.0,4,0,0
19347,26,440.73,3,21,0
19348,8,323.88,3,1,0
19349,23,215.74,4,13,0
19350,5,400.2,3,0,0
19351,7,368.71,4,2,0
19352,4,169.25,2,0,0
19354,5,436.0,4,0,0
19355,4,485.25,3,0,0
19356,7,374.86,3,3,0
19357,9,271.56,8,0,0
19358,1,239.0,1,0,0
19359,1,238.0,1,0,0
19359,7,545.86,6,0,0
19360,7,337.14,4,0,0
19362,8,355.88,4,3,0
